Original Filenames,Parent Identifier,Call #,Title,Theater,Branch,Location,Size,Scanned,Comments,info:,New Filenames
79th_2__To-Belgium-and-Back.tif,service_maps_0115,G5701.S7 1944 .K352 1945,"To Belgium and back with the 79th Infantry Division, 31 Aug to 25 Oct, 1944",EAME,,P-13 Bottom,Large,^,,,service_maps_0115_0001.jp2
79th_3_To-The-Rhine.tif,service_maps_0116,G5701.S7 1945 .K353,"To the Rhine with the 79th Infantry Division, 25 Oct to 14 Feb. 1945",EAME,,P-13 Bottom,Large,,,,service_maps_0116_0001.jp2
79th_4_Over-the-Rhine.tif,service_maps_0117,G5701.S7 1945 .K354,"Over the Rhine with the 79th Infantry Division, 17 Feb to 9 May 1945",EAME,,P-13 Bottom,Large,,,,service_maps_0117_0001.jp2
20240425_0029_6th-Ordnance-June-44-May-45.tif,service_maps_0118,G5721.S7 1945 .A12,"6th Ordnance MM Co., in the European War, 6 June 44 - 8 May 45",EAME,,P-13 Bottom,Extra Large,^,Describes liberation of German prisoners,,service_maps_0118_0001.jp2
0018_Thunderbolt-a.tif | 0018_Thunderbolt-b.tif,service_maps_0119,G5721.S7 1945 .T44,The Thunderbolt across Europe,EAME,,P-13 Bottom,Large,^,,,service_maps_0119_0001.jp2||service_maps_0119_0002.jp2
20240813_0005_97-Inf-Div-ETO.tif,service_maps_0120,G5721.S7 1945 .R685,Routes and locations 97 Inf Div ETO,EAME,,P-13 Bottom,Large,,,,service_maps_0120_0001.jp2
20240422_0022_987th_FA_Battalion.tif,service_maps_0121,G5721.S7 1946 .S65,"Graphical history of 987th F.A. Battalion, 155mm self propelled guns",EAME,,P-13 Bottom,Extra Large Long,Y,,,service_maps_0121_0001.jp2
0030_549-AAA-Battalion.tif,service_maps_0122,G5721.S7 1945 .B87,549 AAA Battalion,EAME,,P-13 Bottom,Extra Large,^,,,service_maps_0122_0001.jp2
0001_Hell-on-Wheels.tif,service_maps_0123,G5701.S7 1945 .H45,"""Hell on wheels"" war against the Axis, 1942-1943-1944-1945",EAME,,P-13 Bottom,Large,^,,,service_maps_0123_0001.jp2
20240813_0043_696th-Armored-Field-Artillery-Battalion.tif,service_maps_0124,G5721.S7 1945 .U55,"696th Armored Field Artillery Battalion : Northern France, Ardennes, Rhineland, Central Europe",EAME,,P-13 Bottom,Large,,,,service_maps_0124_0001.jp2
0026_USS-LST-461.tif,service_maps_0125,G9231.S7 1945 .S32,"Routes of and places visited by USS LST 461, commissioned: February 18, 1943",Pacific,,P-13 Bottom,Large,^,looks almost hand drawn,,service_maps_0125_0001.jp2
0028_Transportation-Corps.tif,service_maps_0126,G5721.S7 1945 .B7,The Transportation Corps in the European Theater of Operations,EAME,,P-13 Bottom,Extra Large,^,,,service_maps_0126_0001.jp2
20241003_007a_29th Infantry_1.tif,service_maps_0127,G5721.S7 1945 .A145,The 29th Infantry Division,EAME,,B-8,Small,,,,service_maps_0127_0001.jp2
20241003_007b_29th Infantry_2.tif,service_maps_0128,G5721.S7 1945 .A145,The 29th Infantry Division,EAME,,B-8,Small,,,,service_maps_0128_0001.jp2
0027_228-F-A_Group.tif,service_maps_0129,G5721.S7 1945 .H57,"History 228 F.A. Group in E.T.O., 1944-45-?",EAME,,B-8,Medium,^,More cartoons,,service_maps_0129_0001.jp2
"Major-Operations-of-the-Thirty-sixth-Armored-Infantry-Regiment,-18-June-1944---25-April-1945,-Normandy,-Northern-France,-Ardennes,-Rhineland,-Central-Europe.tif",service_maps_0130,G5721.S7 1945 .M23,"Major operations of the Thirty-sixth Armored Infantry Regiment, 18 June 1944 - 25 April 1945 : Normandy, Northern France, Ardennes, Rhineland, Central Europe",EAME,,B-8,Small-Long,Y,,,service_maps_0130_0001.jp2
20241003_004_CCA20thArmdDiv.tif,service_maps_0131,G5721.S7 1945 .D38,"Advance of CC 'A' 20th Armd. Div., Normandy to Salzburg, 11 Feb. to the 6 May 45",EAME,,B-8,Small-Long,,,,service_maps_0131_0001.jp2
20241003_003_89th Infantry Division.tif,service_maps_0132,G5721.S7 1945 .R683,Route of the 89th : France-Luxembourg-Germany,EAME,,B-8,Medium,Y,,,service_maps_0132_0001.jp2
0019_Ninth-Division-thru-NATOUSA-&-ETOUSA.tif,service_maps_0133,G5701.S7 1945 .U5,"The route of the Ninth Division thru the NATOUSA & ETOUSA : Nov. 8, 1942 - June 1945",EAME,,B-8,Large,^,shows routes in North Africa,,service_maps_0133_0001.jp2
20240813_0004_53rd-Reinf.-Bn..tif,service_maps_0134,G5701.S7 1945 .A12,53rd Reinf. Bn. operations map,EAME,,Anton's Maps Project Drawer,,,,,service_maps_0134_0001.jp2
20240813_0019_Hell_on_Wheels_1942-1943-1944.tif,service_maps_0135,G5721.S7 1944 .B35,"""Hell on wheels"" 1942-1943-1944",EAME,,Anton's Maps Project Drawer,,,,,service_maps_0135_0001.jp2
20240813_0016_Pacific-Operations-WW2.tif,service_maps_0136,G9231.S7 1946 .U5,[Untitled manuscript Pacific operations WW2 route map],Pacific,,,,,,,service_maps_0136_0001.jp2
20240419_0014_Philippine-Campaign.tif,service_maps_0137,G8061.S7 1945 .A67,Philippine campaign,Pacific,,B-5,,,duplicate,,service_maps_0137_0001.jp2
20241003_002_5th Armoreed Victory Division.tif,service_maps_0138,G5831.S7 1945 .B92,"Advance of the 5th Armored ""Victory Division"", Normandy to the Rhine, 30 August 1944 to 5 March 1945",EAME,,B-9,Small,,duplicate,,service_maps_0138_0001.jp2
20241003_005_486th AntiAircraft.tif,service_maps_0139,Flate File G5721.S7 1945 .M26,Major Operations of the 486th Antiaircraft Artillery (AW) Batallion (SP) 23 June 1944 - ( May 1945,EAME,Army,,,,recently bought; cataloging to be done,,service_maps_0139_0001.jp2
20241003_001_Hell Point.tif,service_maps_0140,G9282.G8S7 1942 .M67 1943,"Hell Point Battle of August 21st, 1942 Fought by the 2nd BN. and the 1st BN. First Marines Guadalcanal",Pacific,Marines,,,,recently bought; cataloging to be done,,service_maps_0140_0001.jp2
20241003_006_2 Dragons.tif,service_maps_0141,Flate File G5831.S7 1945 .A12,2o Dragons Campagne 1944-1945,EAME,Free French Army,,,,,,service_maps_0141_0001.jp2
